2023년 지역축제 개최 계획,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도(년)",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,,,
,,,,,,,,,국비,지방비,기타,합계, 내국인(명) ,외국인(명),전담조직명,조직형태,설립근거,,성명,연락처,,
276,울산,북구,제19회 울산쇠부리축제,전통역사,05.12.~05.14.,달천철장,혼합형,2005,,600,,600,"10,000",5,울산쇠부리축제추진위원회,위원회,울산광역시 북구 울산쇠부리축제 지원에 관한 조례,,강정,052-241-7333,,
277,울산,울주군,작천정 벚꽃축제,생태자연,03.20~04.10.,작천정 벚꽃길 일원,대면,2017,,150,,150,미개최,미개최,울주작천정벚꽃추진위원회,추진위원회,울주군 문화예술 및 지역문화 증진에 관한 조례 제4조,,박현정,052-204-1753,,
278,울산,울주군,제12회 우시산국축제,전통역사,04.10~04.30.,웅촌면 회야강 일원,대면,2011,,140,,140,600,,우시산국축제추진위원회,추진위원회,남울주지역 지속가능한 발전 지원 조례,,이희권,052-204-0315,,
279,울산,울주군,2023년 울산옹기축제,전통역사,05.05~05.07.,외고산 옹기마을 일원,혼합형,2020,30,850,,880,"82,000",,(재)울주문화재단,재단법인,울주군 울주문화재단 설립 및 운영에 관한 조례,문체부,이나라,052-204-0355,,
280,울산,울주군,간절곶해맞이축제,생태자연,12.31.~01.01.,간절곶 일원,대면,2000,,480,,480,"100,000",,울주문화재단,재단법인,울주군 울주문화재단 설립 및 운영에 관한 조례,,김경희,052-204-0312,,
281,울산,울주군,봉계한우불고기 축제,특산물,09.01~11.01,봉계한우불고기특구 일원,대면,1999,,170,,170,미개최,미개최,봉계한우불고기축제추진위원회,추진위원회, 울주군 울주 언양ㆍ봉계한우불고기특구 운영 조례,,김문찬,052-204-1623,,
282,울산,울주군,울산울주세계산악영화제,문화예술,10.20.~10.29.,상북면 복합웰컴센처 일원,혼합형,2016,,"2,900",,"2,900","40,000",,(사)울주세계산악영화제,사단법인,울주군 울주세계산악영화제 운영 조례,,김경희,052-204-0312,,
283,울산,울주군,울주음식문화축제,특산물,10월 중,미정,대면,2018,,98,,98,미개최,미개최,(사)한국외식업중앙회 울산광역시지회 울주군지부,사단법인,울주군 위생업소 및 위생단체 지원에 관한 조례,,박선주,052-204-2222,,
284,세종,-,제16회 세종전의조경수묘목축제,생태자연,"(예정)3월, 5월","세종전의묘목플랫폼, 세종중앙공원",대면,2006,,80,,,"430,000",,,,,,문은지,044-300-4413,,
285,세종,-,조치원봄꽃축제,기타(주민화합 등),(예정)4월,조치원읍일원,대면,2018,,110,,110,,,조치원읍,지자체,-,,오정민,044-301-5054,,
286,세종,-,벚꽃축제,기타(주민화합 등),04.08.~04.09.,부용리 벚꽃십리길 ,대면,2009,,40,,,800,,,,,,이다연,044-301-5512,,
287,세종,-,낙화놀이축제,기타(주민화합 등),(예정)5월,세종중앙공원 등,대면,2023,,,30,30,,,,,,,박용준,044-300-5833,,
288,세종,-,제21회 세종조치원복숭아축제,특산물,7월말~8월초,조치원읍 일대,대면,2003,0,700,0,700,"12,600",0,세종시문화재단,재단법인,세종특별자치시 문화재단 설립 및 운영에 관한 조례(2016년),,김은정,044-300-2513,,
289,세종,-,세종축제,기타(문화관광),10.7.~10.9.,"세종호수공원,중앙공원,금강보행교",대면,2013,0,0,"1,170","1,170","168,778",100,세종시문화재단,재단법인,세종특별자치시 문화재단 설립 및 운영에 관한 조례(2016년),,박종훈,044-300-3442,,
290,세종,-,김종서장군문화제,기타(주민화합 등),(예정)10월 중,김종서장군역사테마공원,대면,2013,0,60,0,60,"1,200",0,장군면,지자체,,,안소라,044-301-5611,,
291,세종,-,2023 세종빛축제,기타(문화관광),(예정)11월~1월,"금강보행교, 금강수변공원",대면,2023,,40,,40,,,,,,,이혜진,044-300-5832,,
292,경기,수원시,제60회 수원화성문화제,"문화예술, 전통역사",10.7.(토)~10.9.(월),수원화성,대면,1964,30,"1,530",0,"1,560","194,335",,수원문화재단,재단법인,수원시 재단법인 수원문화재단 설립 및 운영 조례,문체부,이유진,031-228-3068,,
293,경기,수원시,정조대왕 능행차 공동재현,"문화예술, 전통역사",10.8.(일)~10.9.(월),수원화성,대면,2016,0,"1,270",0,"1,270",,,수원문화재단,재단법인,수원시 재단법인 수원문화재단 설립 및 운영 조례,,"김현진
최우용",031-228-2367,,
294,경기,수원시,세계유산축전 수원화성,"문화예술, 전통역사",9.23.(토)~10.14.(토),수원화성,대면,2021,"1,500",0,0,"1,500","435,000",,수원문화재단,재단법인,수원시 재단법인 수원문화재단 설립 및 운영 조례,문화재청,강유경,031-228-2454,,
295,경기,수원시,수원화성 미디어아트쇼,"문화예술, 전통역사",9.16.(토)~10.15.(일),수원화성,대면,2021,870,870,0,"1,740","410,970",,수원문화재단,재단법인,수원시 재단법인 수원문화재단 설립 및 운영 조례,문화재청,김남수,031-228-3084,,
296,경기,성남시,성남 e스포츠(SeN) 페스티벌,문화예술,9.9.~9.10.,미정,대면,2015,0,0,770,770,미개최,미개최,성남산업진흥원,재단법인,성남산업진흥원 설립·운영 조례,,한광희,031-782-3096,,
297,경기,성남시,2023년 반려동물 페스티벌(가칭),기타,10월중(예정),성남시청 광장,대면,2015,0,40,0,40,"4,000",,성남시(지역경제과),지자체,성남시 동물보호에 관한 조례,,김예슬,031-729-3287,,
298,경기,성남시,제9회 복정 어울림 빛 축제,기타(주민화합 등),2023.12월 중,복정동 분수광장 일대,대면,2012,0,55,55,110,미개최,미개최,복정동빛축제추진위원회,위원회,성남시 지역축제 지원 및 운영조례,,이은정,031-729-5842,,
299,경기,고양시,고양행주문화제,전통역사,05.19~05.21,행주산성 일원,대면,1986,0,600,0,600,"40,128",,고양문화재단,재단법인,고양문화재단 설립에 관한 조례(2003년),,최진호,031-8075-3371,,
300,경기,고양시,고양호수예술축제,문화예술,10.06~10.09,일산호수공원 일원,대면,2008,0,660,0,660,"255,000",,고양문화재단,재단법인,고양문화재단 설립에 관한 조례(2003년),,노정백,031-960-9680,,
301,경기,고양시,제3회 행주가 예술이야,"문화예술, 전통역사","04.28.~05.14.
(예정)",행주산성,대면,2021,0,195,0,195,"17,177",미집계,,,,,성남신,031-8075-3404,,
302,경기,용인시,도농어울림행사(전 사계절테마축제),기타(체험 및 전시),"04.29.~05.07.
10.14.~10.22.",농촌테마파크,대면,2018,0,200,0,200,"28,198",0,-,-,-,-,신명숙,031-324-4024,,
303,경기,용인시,제10회 경안천 창포 축제,전통역사,6월중,경안천 일대,대면,2009,0,5,0,5,0,0,포곡관광발전협의회,사단법인,문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙,-,강태환,031-324-5053,,
304,경기,용인시,제9회 백암 백중문화제,기타(주민화합 등),"09.01.~09.03
(유동적)",백암면 전통시장,대면,2011,0,40,0,40,500,50,백암 백중문화보존위원회,위원회,-,-,윤철민,031-324-5792,,
305,경기,용인시,신갈오거리마을축제(가제),"문화예술, 기타(주민화합 등)",9~10월 중(3일간),신갈천,대면,2023,30,20,0,50,0,0,-,-,-,국토교통부,변승협,031-324-3241,,
306,경기,용인시,포은문화제,전통역사,10.13.~10.15.,포은 묘역 및 포은아트홀 일원,대면,2003,0,200,0,200,"1,000",0,"용인문화원
(포은문화
추진위원회)",비영리법인,지방문화원진흥법,-,이미경,031-324-2097,,
307,경기,용인시,제23회 용인사이버과학축제,기타(주민화합 등),10.14.~10.15.,용인시청 광장,대면,2000,0,200,0,200,"3,000",0,-,-,-,-,심진희,031-324-2083,,
308,경기,부천시,제26회 부천국제만화축제,문화예술,09.21.~09.24(예정),"부천시청, 한국만화박물관 등",혼합형,1998,0,610,70,680,"110,212",0,한국만화영상진흥원,재단법인,한국만화영상진흥원 설치 및 운영 조례(2020년),,조성원,032-625-9377,,
309,경기,부천시,제7회 국제코스프레 페스티벌,문화예술,09.21.~09.24(예정),"부천시청, 한국만화박물관 등",혼합형,2017,0,100,200,300,"110,212",0,한국만화영상진흥원,재단법인,한국만화영상진흥원 설치 및 운영 조례(2020년),,조성원,032-625-9377,,
310,경기,부천시,제25회 부천국제애니메이션페스티벌,문화예술,10.20.~10.24.,"부천시청, CGV부천 등",혼합형,1999,120,"1,480",450,"2,050","15,604",0,부천국제애니메이션페스티벌조직위원회,사단법인,부천시 영상 문화 산업 진흥 조례(2016년),문체부,조성원,031-481-3511,,
311,경기,안산시,제26회 성호문화제,전통역사,5월중 2일,성호공원,대면,1997,0,50,0,50,"10,000", - ,안산문화원,사단법인,「지방문화원진흥법」 및 「안산시 문화원사 설치 및 운영 조례」,-,-,031-481-2068,,
312,경기,안산시 ,제19회 안산국제거리극축제,문화예술,5.5.~5.7.,안산문화광장,대면,2005,0,"1,070",0,"1,070","228,442",0,안산문화재단,재단법인,안산시 안산문화재단 설립 및 운영 조례,,류필,-,,
313,경기,안산시,"정조대왕 능행차 공동재현
(제13회 안산읍성 문화예술제)",전통역사,10월중 1일,안산읍성,대면,2011,0,87,0,87,300,,안산문화원,사단법인,「지방문화원진흥법」 및 「안산시 문화원사 설치 및 운영 조례」,-,-,02-2680-2162,,
314,경기,안산시,제4회 안산 김홍도 축제,문화예술,10.13. ~ 10.15.,화랑유원지,대면,2018,0,300,0,300,"95,603",,,,,,김나영,031-678-2513,,
315,경기,안양시,안양충훈벚꽃축제,생태자연,4월 중(3일간),석수3동 충훈2교 일대,대면,2003,0,70,0,70,0,0,안양문화예술재단,재단법인,안양문화예술재단 설립 및 운영 조례,,우세진,031-8045-2064,,
316,경기,안양시,제32회 안양예술제,예술축제,5월중(2일간),평촌중앙공원,대면,1991,0,93,0,0,"1,000",0,사)한국예총 안양지회,사단법인,안양문화예술재단 설립 및 운영 조례,,이유리,031-8045-5593,,
317,경기,안양시,안양시민축제,기타(주민화합 등),9월 중(3일간),평촌중앙공원 등,대면,2000,0,700,0,700,"142,195",18,안양문화예술재단,재단법인,안양문화예술재단 설립 및 운영 조례,,우세진,031-8045-2064,,
318,경기,안양시,안양1번가 넘버원 페스티벌,패션뷰티축제,11월중(9일간),안양1번가 일원,대면,2023,0,150,0,150,0,0,문화관광과,지방자치단체,,,이인호,031-8045-5122,,
319,경기,안양시,제7회 안양공공예술프로젝트(APAP7),예술축제,8.25~11.2(70일간),안양예술공원 및 (구)농림축산검역본부 일원,대면,2005,0,"2,475",0,"2,475","62,674",0,안양문화예술재단,재단법인,안양문화예술재단 설립 및 운영 조례,,제갈민,031-8045-5469,,
320,경기,남양주시,제37회 정약용문화제,전통역사,10.14.~10.15.,"정약용유적지, 다산생태공원 일원",대면,1986,0,370,0,370,"14,600",21,,,,,송혜린,031-590-2799,,
321,경기,남양주시,제18회 광릉숲축제,자연,미정,광릉숲 일원,대면,2006,0,150,0,150,"30,000",,,,,,임희주,031-590-2454,,
322,경기,화성시,제13회 화성뱃놀이축제,생태자연,6.9.~6.11.,전곡항 및 제부도,대면,2008,0,"1,650",0,"1,650",9만,0,화성시문화재단,재단법인,화성시문화재단 설립 및 운영에 관한 조례,,남지선,031-5189-6136,,
323,경기,화성시,제15회 품앗이 공연예술축제,문화예술,8.25.~8.27.,우정읍 이화리,대면,2009,0,63,0,63,850,0,화성시문화재단,재단법인,화성시문화재단 설립 및 운영에 관한 조례,,유무승,031-5189-6147,,
324,경기,화성시,제9회 화성송산포도축제,특산물,9.2.~9.3.,궁평항 일원,대면,2013,0,250,0,250,18만,0,(사)화성송산포도연합회,위원회,"농업농촌및식품산업기본법,
화성시농특산물통합상표사용에관한조례",,문성민,031-5189-6441,,
325,경기,화성시,제1회 도농 어울림 축제,주민화합,9.23.~9.24.,동탄여울공원,대면,2023,0,290,0,290,0,0,,,,,오미경,031-5189-4713,,
326,경기,평택시,평택호 물빛축제,문화예술,9월중(2일간),평택호,대면,2013,0,292,0,292,"25,000",-,없음,,,없음,기미형,031-8053-3544,,
327,경기,평택시,가족캠핑 스마트 영상 축제,문화예술,10월 초(2박3일),진위천유원지,대면,2012,0,180,0,180,"2,000",-,없음,,,없음,이명갑,031-8024-3222,,
328,경기,평택시,한미 어울림 축제,문화예술,10월 중(2일간),미군부대 앞 거리,대면,2019,0,250,0,250,"110,000명","10,000명",평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336,,
329,경기,평택시,한미친선 한마음 축제,문화예술,5월 중(2일간),안정리 로데오 거리,대면,2006,0,140,0,140,"35,000명","15,000명",평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336,,
330,경기,평택시,한미친선 문화 한마당,문화예술,10월 중(2일간),신장쇼핑몰,대면,2004,0,140,0,140,"20,000명","10,000명",평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336,,
331,경기,평택시,할로윈축제(신장),문화예술,10월 말,신장쇼핑몰,대면,2017,0,110,0,110,"20,000명","10,000명",평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336,,
332,경기,평택시,할로윈축제(팽성),문화예술,10월 말,안정리 로데오 거리,대면,2022,0,110,0,110,"7,000명","3,000명",평택시국제교류재단,재단법인,평택시 국제교류재단 설립 및 운영 조례,,양희은,031-8024-5336,,
333,경기,평택시,평택 꽃 나들이,문화예술,2023. 4. 22.~2023. 4. 30.,평택시농업기술센터 및 농업생태원 일원,대면,2003,0,200,0,200,"97,053명","5,000명",한국예총   평택지회,사단법인,"농어업·농어촌 및 식품산업 기본법 제45조, 제51조, 문화예술 진흥법 제3조",,최재구,031-8024-4665,,
334,경기,평택시,평택 가을 수확축제,문화예술,2023. 10. 중,평택시농업기술센터 및 농업생태원 일원,대면,2022,0,50,0,50,"10,686명",560명,농촌자원과,공공기관,-,,최재구,031-8024-4665,,
335,경기,평택시,송탄관광특구 한마음대축제,기타(주민화합 등),9월 중,서정동 관광특구로 일대,대면,2012,0,260,0,260,"10,000명","2,000명",(사)송탄관광특구연합회,사단법인,-,,김종윤,031-8024-3291,,
336,경기,화성시,정조 효 문화제(정조대왕 능행차 화성구간),전통역사,10.7.~10.8.,융건릉 일원,대면,2002,0,"1,410",0,"1,410",3만,0,화성시문화재단,재단법인,화성시문화재단 설립 및 운영에 관한 조례,,조경신,031-5189-3835,,
337,경기,의정부시,제22회 의정부 음악극 축제,문화예술,6.1.~6.10.,"의정부예술의전당, 의정부아트캠프, 의정부시 일원",대면,2002,0,720,100,820,"60,988",50,의정부문화재단,재단법인,의정부문화재단 설립 및 운영에 관한 조례,,변재환,031-828-4342,,
338,경기,의정부시,제5회 블랙뮤직페스티벌,문화예술,9.1.~9.2.,"의정부 아트캠프, 캠프레드클라우드 등 ",대면,2018,0,350,50,400,"15,380",360,의정부문화재단,재단법인,의정부문화재단 설립 및 운영에 관한 조례,,변재환,031-828-4342,,
339,경기,의정부시,제38회 회룡문화제,전통역사,9.22.~9.24.,의정부시 일원,대면,1986,0,225,0,225,"2,000",-,의정부문화원,사단법인,지방문화원진흥법 제4조,,이혜선,031-828-4332,,
340,경기,시흥시,제18회 시흥갯골축제,생태자연,9월 중,시흥갯골생태공원,대면,2006,30,815,0,845,"151,173",-,갯골축제추진위원회,위원회,「시흥시 시흥갯골축제 운영 및 지원에 관한 조례」제6조,문체부,신하람,031-310-2916,,
341,경기,시흥시,시흥거북섬 축제,기타(주민화합 등),7월 중,시흥 거북섬 및 웨이브파크 일원,대면,2022,0,275,0,275,"5,500",-,,,,,지승진,031-310-2906,,
342,경기,시흥시,연성문화제,전통역사,10월 중,연꽃테마파크 일원,대면,1994,0,900,0,900,"5,000",-,시흥문화원,법률에 근거한 법정(민간)단체,지방문화원법,,서윤진,031-310-6702,,
343,경기,시흥시,제30회 물왕예술제,문화예술,05.12~05.14,"물왕산현공원, 배곧생명공원, 대야 비둘기공원",대면,1992,0,250,0,250,"10,000",-,시흥예총,사단법인,문화예술진흥법 제7조,,김수경,031-310-6730,,
344,경기,시흥시,은계호수공원가을콘서트,문화예술,10.07~10.08,은계호수공원,대면,2022,0,70,0,70,"5,000",-,시흥예총,사단법인,문화예술진흥법 제7조,,박현우,031-310-6731,,
345,경기,파주시,파주개성인삼축제,특산물,10.21~10.22.,임진각광장,대면,2005,0,250,0,250,"112,000",0,파주개성인삼축제추진위원회,위원회,해당없음,,조형준,031-940-5281,,
346,경기,파주시,파주장단콩축제,특산물,11.24.~11.26.,임진각광장,대면,1997,0,684,0,684,"187,000",0,파주장단콩축제추진위원회,위원회,해당없음,,서현태,031-839-2378,,
347,경기,파주시,파주북소리 축제,문화예술,10월 중,파주출판도시,혼합형,2011,0,281,90,371,"15,000",0,출판도시문화재단,재단법인,"문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제4조, 민법제32조",,최은진,031-940-4721,,
348,경기,파주시,파주출판도시 어린이책잔치,문화예술,5.5.~5.7.,파주출판도시,혼합형,2003,200,64,30,294,"34,000",0,출판도시문화재단,재단법인,"문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙 제4조, 민법제32조",문체부,최은진,031-940-4721,,
349,경기,파주시,파주 헤이리 예술축제,문화예술,9~11월,헤이리 예술마을,혼합형,2005,0,125,15,140,"174,500",0,헤이리,사단법인,"지역문화진흥법 제18조, 경기도 문화지구 관리 및 육성에 관한 조례",,남기정,031-940-4722,,
350,경기,파주시,제33회 율곡문화제,전통역사,10월중,율곡이이유적지,대면,1987,0,200,0,200,"8,000",,,,,,고윤정,031-940-4351,,
351,경기,광명시,페스티벌 광명,문화예술,하반기,(미정),대면,2022,0,290,0,290,"34,500",500,,,,,김진원,02-2680-6059,,
352,경기,광명시,광명동굴 대한민국 와인페스티벌,문화예술,9월 중,광명동굴 미디어광장,대면,2015,0,150,0,0,"13,129",확인불가,광명도시공사,지방공기업,"지방공기업법, 광명동굴 관리 및 운영에 관한 조례",,장수진,02-2680-2159,,
353,경기,광명시,구름산예술제,문화예술,하반기,(미정),대면,1991,0,149,0,149,0,0,(사)한국예총광명지회,민간단체,문화체육관광부 및 문화재청 소관 비영리법인의 설립및감독에관한규칙,,조미경,02-2680-6498,,
354,경기,광명시,오리문화제,문화예술,5월 중,광명시민체육관,대면,1992,0,100,0,100,"4,000",0,광명문화원,사단법인,지방문화원진흥법,,정지연,02-2680-0761,,
355,경기,광명시,제15회 광명농악대축제,문화예술,10월 중,미정,대면,2007,0,70,0,70,450,0,광명농악보존회,무형문화재 보유단체,경기도 무형문화재 보전 및 진흥에 관한 조례,,홍재석,031-645-3670,,
356,경기,김포시,2023 김포 아라마린 페스티벌,문화예술,5월 중,김포 아라마리나,혼합형,2017,0,250,100,350,"51,878",-,,,,,김예린,031-980-5112,,
357,경기,김포시,월곶 저잣거리 축제,전통역사,9월 중,김포 월곶면 군하리,혼합형,2019,0,50,0,50,500,-,,,,,이송은,031-980-5113,,
358,경기,김포시,김포 도심축제,문화예술,11월 중,금빛수로,혼합형,2020,0,50,0,50,"18,000",-,,,,,원지영,031-980-5103,,
359,경기,군포시,군포철쭉축제,생태자연,4월 28~30(예정),"군포철쭉공원, 초막골생태공원 등",대면,2011,0,"450,000",0,"450,000",0,0,군포문화재단,재단법인,군포문화재단 설립 및 운영에 관한 조례,,신우정,031-390-0063,,
360,경기,이천시,이천체험문화축제,기타(주민화합),5.20.~5.21.,미정,대면,2014년,0,75,0,75,"25,000",,이천나드리,사단법인,이천시 체험관광 활성화 지원 조례(2019년),,김학보,031-644-4137,,
361,경기,이천시,제23회 이천쌀문화축제,"문화예술, 체험, 전통역사, 특산물, 
기타(주민화합 등)",10.18~10.22,이천농업테마공원,대면,1999년,0,"1,428",0,,"130,000",,이천쌀문화축제추진위원회,비영리법인,이천시 쌀문화축제추진위원회 운영 조례,,임병웅,031-644-3657,,
362,경기,이천시,제37회 이천도자기축제,"문화예술, 전통역사, 특산물(품)",4.26~5.7,예스파크,대면,1987년,0,924,0,,"100,000",,이천도자기축제추진위원회,위원회,이천시 도자기축제 추진위원회 조례,,조여은,031-644-2322,,
363,경기,이천시,제8회 이천인삼축제,특산물,11.3~11.5,이천인삼판매센터,대면,2015년,0,150,0,150,"173,000",,인삼축제 추진위원회,위원회,이천시 인삼축제추진위원회 운영 조례,,성우석,031-644-4334,,
364,경기,이천시,제13회 이천시 평생학습축제,기타,5~6월중,설봉공원예정,대면,2005년,0,228,0,228,"1,000",,평생학습실무추진위원회,민간,이천시평생학습조례 제6조,,류이타,031-644-2323,,
365,경기,이천시,제26회 햇사레장호원복숭아축제,특산물,9.22~24.,햇사레농산물산지유통센터,대면,1997년,0,290,0,290,"110,000",,햇사레장호원복숭아축제 추진위원회,위원회,이천시 장호원복숭아축제추진위원회 운영 조례,,김우치,031-644-8518,,
366,경기,이천시,이천백사산수유꽃축제,생태자연,3월말~4월초,산수유마을,대면,2000년,0,200,0,200,900,,이천백사산수유꽃축제추진위원회,위원회,이천백사산수유꽃축제추진위원회 운영조례,,강선영,031-645-3662,,
367,경기,이천시,설봉산 별빛축제,문화예술,미정,설봉공원,대면,2004년,0,455,0,455,"20,000",,이천예총,사단법인,이천시 문화예술 육성 및 지원에 관한 조례,,박재민,032-625-9377,,
368,경기,양주시,양주 천일홍 축제,생태자연,9월~10월 초(2일간),양주나리농원 일원,대면,2017,0,450,0,450,"180,000",0,문화관광과,시 직영,,,이봉숙,031-8082-5655,,
369,경기,양주시,양주 회암사지 왕실축제, 전통역사,5월중(2일),회암사지 일원,혼합형,2017,0,400,0,400,"37,500",0,문화관광과,시 직영,,,김동규,031-8082-4170,,
370,경기,양주시,양주문화재야행, 전통역사,2023. 9월 중(3일 간),양주관아지 일원,대면,2020,132,198,0,330,"15,000",0,문화관광과,시 직영,,,이경민,031-8082-5673,,
371,경기,오산시,제14회 오산 독산성문화제,전통역사,10.21. ~ 10.22.,고인돌공원 및 독산성 세마대지 일원,대면,2010,0,200,0,200,"74,000",0,오산문화재단,재단법인,오산문화재단 설립및 운영 조례(2012년 제정),,이해나,031-8036-7613,,
372,경기,오산시,야맥축제,주민화합,"5월, 10월",오색시장,대면,2016,50,50,0,100,"69,800",200,오산오색시장문화관광형시장 육성사업단,사업단,전통시장 및 상점가 육성을 위한 특별법,중소벤처기업부,유미정,031-8036-7552,,
373,경기,구리시,구리시 빛축제,문화예술,11월 중(20일간),주요 시가지,대면,2023,0,290,0,290,,,,,,,유다영,031-550-2065,,
374,경기,구리시,구리 유채꽃 한강예술제,문화예술,5월 중(2일),한강시민공원,대면,2023,,추경예정,,,,,,,,,유다영,031-550-2065,,
375,경기,구리시,구리 코스모스 한강예술제,문화예술,10월 중(3일),한강시민공원,대면,2023,,추경예정,,,,,,,,,유다영,031-550-2065,,
376,경기,안성시,안성맞춤 남사당 바우덕이 축제,문화예술,9월 말~10월 초,안성맞춤랜드,대면,2001,30,15,"1,815","1,860","428,175",0,안성맞춤 남사당 바우덕이 축제위원회,위원회,안성맞춤 남사당 바우덕이 축제 조례 시행규칙,문체부,김창기,031-678-2513,,
377,경기,안성시,안성맞춤포도축제,특산물,9월 중,서운면 일원,대면,2007,0,0,50,50,500,0,안성맞춤포도축제위원회,비영리법인,-,-,김창기,031-678-2513,,
378,경기,안성시,죽주대고려문화축제,전통역사,9월 말~10월 초,동안성시민복지센터 일원,대면,2004,0,0,50,50,"7,000",0,죽주대고려문화축제위원회,재단법인,-,-,김창기,031-940-5282,,
379,경기,포천시,포천 시민의날 축제,기타(주민화합 등),2023. 10.,포천종합운동장,대면,2003,0,260,0,260,"30,000",-,축제추진위원회,위원회,포천시 축제발전 및 운영에 관한 조례,,홍대규,031-538-2534,,
380,경기,포천시,포천 산정호수 명성산 억새꽃 축제,생태자연,2023. 10.13.~10. 29.,산정호수,혼합형,1997,0,200,0,200,"481,708",233,포천문화재단,재단법인,포천시 문화예술 지원 및 육성에 관한 조례,,이민준,031-538-2068,,
381,경기,포천시,백운계곡 동장군 축제,생태자연,23.12.23.~24.2.4.,도리돌마을,대면,2003,0,70,0,70,,0,축제추진위원회,위원회,포천시 축제 발전 및 운영에 관한 조례,,이민준,031-538-2068,,
382,경기,포천시,포천아트밸리 축제,문화예술,2023. 5.,포천아트밸리,대면,2023,0,250,0,0,-,-,-,-,-,,김경민,031-538-3489,,
383,경기,포천시,포천 시민의날 축제,기타(주민화합 등),2023. 10.,포천종합운동장,대면,2003,0,260,0,260,"30,000",-,축제추진위원회,위원회,포천시 축제발전 및 운영에 관한 조례,,홍대규,031-538-2534,,
384,경기,포천시,한탄강 지오페스티벌 개최,"문화예술, 생태 자연",2023. 6.,,대면,2017,0,280,0,280,"10,000",,-,-,-,,강선아,031-538-3131,,
385,경기,의왕시,의왕철도축제,기타(주민화합 등),05. 05.~05. 06.,"의왕 왕송호수 공원, 철도박물관 등",대면,2002,0,288,0,288,0,0,의왕시축제추진위원회,위원회,의왕시 축제추진위원회 설치 및 운영 등에 관한 조례,,박지혜,031-345-2548,,
386,경기,의왕시,의왕백운호수축제,기타(주민화합 등),9월 중(2일간),의왕 백운호수 주차장,대면,2001,0,280,0,280,"40,000",0,의왕시축제추진위원회,위원회,의왕시 축제추진위원회 설치 및 운영 등에 관한 조례,,박지혜,031-345-2548,,
387,경기,의왕시,의왕왕송호수 겨울축제,기타(주민화합 등),23. 12월~24. 1월 중(20일간),의왕 왕송호수 공원,대면,2016,0,150,0,150,진행 중,진행 중,의왕시축제추진위원회,위원회,의왕시 축제추진위원회 설치 및 운영 등에 관한 조례,,박지혜,02-3677-2065,,
388,경기,여주시,제35회 여주도자기축제,특산물,05.19~29.,신륵산관광단지,대면,1990,0,940,0,940,"110,000",,여주세종문화관광재단,재단법인,여주세종문화관광재단 설립및 운영에 관한 조례(2021년),,정영훈,031-881-9692,,
389,경기,여주시,2023 여주오곡나루축제,특산물,10. 20. ~22.(예정),신륵산관광단지,대면,1998,30,"1,030",0,"1,060","200,000",-,여주세종문화관광재단,재단법인,여주세종문화관광재단 설립및 운영에 관한 조례(2021년),문체부,정영훈,,,
390,경기,여주시,제3회 선비장터축제,"특산물, 주민화합",10.14.~10.15.,가남읍 태평리 대신천변 일원,대면,2018,0,102.5,0,102.5,"9,500",500,가남축제추진위원회,민간,여주시 축제 발전과 지원에 관한 조례(2022년),,이가영,031-887-3835,,
391,경기,여주시,제17회 금사참외축제,특산물,05.26.~05.28.,금사근린공원 일원,대면,2006,0,130,67,197,"100,000",,금사참외축제 추진위원회,,,,김동우,031-887-3902,,
392,경기,여주시,제18회 산북품실축제,전통역사,10.27.~10.28.(예정),"산북면
체육공원",대면,2004,0,50,0,50,"3,000",,산북품실축제위원회,비영리법인,,,김용현,031-887-3913,,
393,경기,여주시,제7회여주흥천남한강벚꽃축제,생태자연,04.07~04.09,"벚꽃축제장
귀백리 산7번지일원",대면,2017,0,100,0,100,-,-,,,해당없음,-,조경희,031-887-3875,,
394,경기,양평군,제24회 양평단월고로쇠축제,특산물,3.18.~3.19.,단월레포츠공원,혼합형,1999,0,120,0,120,0,0,양평단월고로쇠축제추진위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,조자영,031-770-3192,,
395,경기,양평군,제6회 갈산누리봄축제,"문화예술, 생태자연",4월 중,양평생활체육공원,대면,2017,0,30,20,50,"50,000","1,000",갈산누리봄축제추진위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,최혜정,031-770-3003,,
396,경기,양평군,제19회 양평 산수유 한우 축제,생태자연,4.1.~4.2.,개군면 레포츠공원,대면,2004,0,120,0,120,0,0,양평산수유?한우축제추진위원회,위원회,양평군 축제 운영 및 지원에 관한 조례,,홍민지,031-770-3342,,
