연번,"광역
단체명","기초
단체명",축제명,축제유형,개최기간,개최장소,개최방식,"최초
개최년도",예산(백만원),,,,방문객수(前년),,전담조직(축제사무국),,,"국비지원
부처명",담당자,
28,울산,,처용문화제,문화예술,2022. 10.,태화강둔치,대면,1967,,350,,350,400명,,울산문화재단,재단법인,울산광역시 문화재단 설립 및 운영에 관한 조례(2016년),,김보창,052-229-3751
29,울산,,외솔한글한마당,문화예술,2022. 10.,중구원도심,대면,2002,,570,30,600,온라인,,UBC,사단법인,민법 제31조 및 제97조,,김보창,052-229-3751
30,울산,중구,2022 울산마두희축제,전통역사,06.03~06.05.,중구 원도심 일원,대면,2014년,,450,,450,1000명,0명,울산마두희축제추진위원회,비영리단체,울산마두희축제추진위원회 정관,,윤대현,052-290-3662
31,울산,중구,눈꽃축제,주민화합,12.24.~12.25.,중구 원도심 일원,대면,2006년,,90,,90,,,없음,없음,없음,,이태근,052-290-3324
32,울산,남구,궁거랑 벚꽃 한마당,문화관광축제,2.15.,무거생태하천일원,대면,2009,,170,,170," 5,000명 ",확인불가,울산제일일보,신문사,울산광역시남구 지방보조금 관리 조례,,이희선,052-226-5412
33,울산,남구,제26회 울산고래축제,문화관광축제,04.28~05.01,장생포일원,혼합형,1995,,"1,250",,"1,250","319,562명",확인불가,고래문화재단,재단법인,울산광역시남구고래문화재단설립및운영지원조례(2011),-,박민성,052-226-3403
34,울산,남구,장생포 수국 페스티벌,문화관광축제,6월 중,고래문화마을 수국정원,대면,2022,,80,,80,신규사업,신규사업,울산UBC,언론사,울산광역시남구 지방보조금 관리 조례,,이태하,052-226-5372
35,울산,남구,"울산 남구 문화유적 
생태탐방 교육",문화관광축제,6월~11월중,"장생포고래문화특구,
삼호대숲 일원 등",대면,2019,,100,,100,"2,100명",확인불가,울산신문사,신문사,울산광역시남구 지방보조금 관리 조례,-,김은지,052-226-5682
36,울산,남구,"장생포 고래문화특구 
런닝맨투어",문화관광축제,07.16.~07.17.,장생포 고래문화특구 일원,대면,2022,,70,7,77,신규사업,신규사업,울산제일일보,신문사,울산광역시남구 지방보조금 관리 조례,,이애경,052-226-3404
37,울산,남구,장생포 한여름 밤의 Horror  Festival,문화관광축제,8월 중,고래문화 마을일원,대면,2017,,220,,220,"1,743명",확인불가,울산UBC,언론사,울산광역시남구 지방보조금 관리 조례,,이태하,052-226-5372
38,울산,남구,남구문화예술제,문화관광축제,9월 중,남구문화원 등,대면,2022,,110,,110," 3,000명 ",확인불가,문화원,문화원,지방문화원 진흥법,,정성연,052-226-5413
39,울산,남구,남구강변영화제,문화관광축제,9월 중,태화강둔치,대면,2015,,150,,150," 3,000명 ",확인불가,울산매일신문사,신문사,울산광역시남구 지방보조금 관리 조례,,이희선,052-226-5412
40,울산,남구,태화강 빛 축제,문화관광축제,10월 중,태화강둔치,대면,2020,,200,,200," 5,000명 ",확인불가,경상일보,신문사,울산광역시남구 지방보조금 관리 조례,,이희선,052-226-5412
41,울산,남구,그린차박페스티벌 in 울산,문화관광축제,10월 중,문수국제양궁장,대면,2021,,150,18,168,243명,없음,울산신문사,신문사,울산광역시남구 지방보조금 관리 조례,,이애경,052-226-3404
42,울산,남구,버드페스티벌,문화관광축제,11.11.∼11.13,태화강남구 철새공원,혼합형,2022,,150,15,165,신규사업,신규사업,울산mbc,언론사,울산광역시남구 지방보조금 관리 조례,,김을숙,052-226-4902
43,울산,동구,"제100회 어린이날 기념 
동구 어린이 큰잔치",기타,5.4~5.5,"동구청,어린이집 등",온라인,,,20,,20,미실시,,,,,,류형순,052-209-3471
44,울산,동구,2022년 울산조선해양축제,기타,7월중,일산해수욕장 일원,대면,,,500,,500,"온라인 개막공연
(실시간참여자수1500명/조회수 15,956건)
유튜브 울산 동구 여행다큐(조회수 230,000건)",,울산조선해양축제추진위원회,위원회,울산 동구 축제 지원 조례,,김혜성,052-209-3362
45,울산,북구,제18회 울산쇠부리축제,문화예술,05.13.~05.15.,달천철장,혼합형,2005년,,600,0,600,비대면,비대면,울산쇠부리축제 추진위원회,위원회,울산광역시 북구 울산쇠부리축제 지원에 관한 조례,,김현기,052-241-7333
46,울산,울주군,울산옹기축제,전통역사,5월 중,외고산옹기마을일대,혼합형,2000,30,850,0,880,온라인 관람객 48만명,,울주문화재단,재단법인,"「지역문화진흥법 제19조」, 「울산광역시 문화재단 설립 및 운영에 관한 조례」(2016년)",문체부,이나라,052-204-0355
47,세종,-,여덟 번째 세종축제,문화예술,10월중,"세종호수공원,중앙공원",대면,2013,0,900,0,900,"104,598명","54,086명",세종시문화재단,재단법인,세종특별자치시 문화재단 설립 및 운영에 관한 조례,-,김혜리,044-850-0556
48,세종,-,제20회 세종조치원복숭아축제,특산물,8.5.~8.7.,도도리파크(예정),혼합형,2003,0,300,0,300,"21,069명",-,축제추진위원회,위원회,-,-,윤정하,044-300-2512
49,세종,-,제5회 세종건축문화제,문화예술,10.5.~10.10.,"중앙공원,시청사",혼합형,2018,0,70,0,70,"2,000명",-,건축과,-,-,-,김태우,044-300-5412
50,세종,-,제10회 김종서장군문화제,전통역사,10월중,김종서장군묘역(장군면),대면,2013,0,60,0,60,100명(축소개최),-,-,-,-,-,한새하,044-301-5612
51,부산,시자체,제35회 해운대북극곰축제,생태자연,2월 말,"해운대
해수욕장",혼합형,1988,-,350,120,470,655,-,부산일보사,사단법인,-,-,노자경,051-888-5221
52,부산,해운대구,제38회 해운대 달맞이온천축제,"전통역사, 주민화합",미정,해운대해수욕장 일원 ,미정,1983,-,12,미정,미정,"코로나19
개최취소",,"해운대구발전
협의회",사단법인,-,-,유주은,051-749-4064
53,부산,강서구,"제6회 강서 낙동강변
30리 벚꽃축제",생태자연,"3월말 예정
(3일간)",대저생태공원,·대면,2015,-,290,5,295,"코로나19
개최취소",,"강서구축제
추진위원회",축제추진위,부산광역시 강서구 축제 지원 조례,-,진은희,051-970-4062
54,부산,사상구,제19회 사상강변축제,주민화합,10월 중,삼락생태공원,대면,2001,-,280,-,280,"코로나19
개최취소",,사상문화원,사단법인,"부산광역시 사상구 사상문화원 지원 조례
(2015.10.22.)",-,송성원,051-310-4062
55,부산,강서구,제20회 대저토마토축제,지역특산물(대저토마토),"4월초 예정
(2일간)",강서체육공원,대면,2001,-,40,250,290,"코로나19
개최취소",,"대저토마토축제
추진위원회",축제추진위,부산광역시 강서구 축제 지원 조례,-,전미숙,051-970-4812
56,부산,시자체,제10회 낙동강유채꽃축제,생태자연,4월 중,대저생태공원,혼합형,2011,-,180,미정,미정,온라인(비대면) 개최,,"(사)부산문화관광
축제조직위원회",추진위원회,「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조,-,노자경,051-888-5221
57,부산,기장군,기장미역다시마축제,특산물,"4월 중
(3일간)",이동항,혼합형,2008,-,60,-,60,"코로나19
개최취소",,"기장미역다시마
축제조직위",추진위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,-,이성주,051-709-4612
58,부산,기장군,기장멸치축제,특산물,"4월 중
(3일간)",대변항,혼합형,1997,-,100,-,100,"코로나19
개최취소",,"기장명치
축제조직위",추진위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,-,홍승균,051-709-4502
59,부산,중구,광복로 연등문화제,문화예술,04.20.~05.09.,광복로 일원,대면,2014,-,50,10,60,"코로나19
개최취소",,"부산광역시 
중구불교연합회",사단법인,-,-,송소정,051-600-4085
60,부산,중구,조선통신사축제,전통역사,05.05.~05.08.,"용두산공원, 광복로 일원 등",대면,2003,-,500,-,500,온라인(비대면) 개최,,부산문화재단,재단법인,부산문화재단 설립 및 운영 지원 조례,-,송소정,051-600-4085
61,부산,시자체,원도심골목길축제,전통역사,5월 중,원도심 4개구 일원,혼합형,2015,-,150,-,150,481,-,"(사)부산문화관광
축제조직위원회",추진위원회,"「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조
 ",-,노자경,051-888-5221
62,부산,사하구,제11회 하단포구웅어축제,특산물,5월 중 3일,하단항 일원,대면,2006,-,10,20,30,"코로나19
개최취소",, 부산시수협 하단어촌계 ,사단법인,-,-,이승롱,051-220-4501
63,부산,북구,제9회 낙동강 구포나루 축제,문화예술,5.13.~5.15.,화명생태공원,혼합형,2011,-,330,50,380,"코로나19
개최취소",,"(사)부산북구문화관광
축제조직위원회",사단법인,문화예술진흥법 제7조,-,박준호,051-309-4522
64,부산,금정구,2022 금정문화축제,문화예술,"개최일정 미정
(6월 또는 하반기(2일))",온천천 등,혼합형,1996,-,250,-,250,"36,671",-,"금정구
금정문화재단",재단법인,금정구 금정문화재단 설립 및 운영에 관한 조례(2020),-,김충남,051-519-4062
65,부산,해운대구,2022 해운대모래축제,문화예술,5월경,해운대해수욕장 일원 ,미정,2005,-,미정,미정,미정,"375,283",-,-,,,-,백쌍호,051-749-4061
66,부산,시자체,제15회 부산항축제,전통역사,5.28.~5.29.,부산항북항,혼합형,2008,300,300,300,900,"6,000",100,"부산문화관광
축제조직위",사단법인,부산광역시 축제의 육성 및 지원에 관한 조례 ,해수부,손평모,051-888-5352
67,부산,기장군,일광낭만가요제,기타(주민화합),"6~7월중
(3일간)","일광
해수욕장",대면,2002,-,18,-,18,"코로나19
개최취소",,"일광낭만가요제
추진위원회",추진위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,-,안준길,051-709-4065
68,부산,영도구,수국꽃 문화축제,문화예술,6.25.~7.3,태종사경내,대면,2006,-,-,-,-,"100,000",-,"수국축제
추진위원회",비영리법인,-,-,신연진,051-419-4064
69,부산,시자체,제22회 부산국제록페스티벌,문화예술,7월 중,삼락생태공원,혼합형,2000,-,730,미정,미정,410,-,"(사)부산문화관광
축제조직위원회",추진위원회,"「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조
 ",-,노자경,051-888-5221
70,부산,해운대구,제16회 부산국제매직페스티벌,문화예술,8월 중,미정,미정,2005,-,12,미정,미정,미산정,,부산국제매직페스티벌조직위원회,축제조직위,-,-,전정희,051-749-4061
71,부산,시자체,제26회 부산바다축제,생태자연,8월 중,부산시 일원,혼합형,1996,-,700,미정,미정,1300,-,"(사)부산문화관광
축제조직위원회",추진위원회,"「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조
 ",-,이연경,051-888-5222
72,부산,기장군,기장갯마을축제,기타(주민화합),"8월 중
(3일간)","일광
해수욕장",대면,1995,-,70,-,70,"코로나19
개최취소",,"기장갯마을
축제조직
위원회",추진위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,-,안준길,051-709-4065
73,부산,강서구,"제20회 
명지시장전어축제",지역특산물(전어),"8월 말 예정
(3일간)","명지시장
일원",·대면,2001,-,40,-,40,"코로나19
개최취소",,"명지시장전어
축제위원회",축제추진위,부산광역시 강서구 축제 운영 및 지원에 관한 조례,-,윤선희,051-970-4475
74,부산,해운대구,해운대 해양레저축제,기타,9월 중,송정해수욕장 일원,미정,2017,-,90,미정,미정,"코로나19
개최취소",,-,,,-,전정희,051-749-4064
75,부산,부산진구,우리문화체험축제,전통역사,9월 중,부산시민공원 일원,대면,"2007
(격년제)",-,50,-,50,"2,500",-,-,,,-,이혜영,051-605-4062
76,부산,금정구,제6회 라라라페스티벌,기타,10월(3일간),온천천,혼합형,2016,-,90,-,90,"10,000",-,-,,,-,민소연,051-519-4422
77,부산,기장군,정관생태하천학습문화축제,기타(주민화합),"10월 중
(2일간)","좌광천
일원",대면,2012,-,150,-,150,"코로나19
개최취소",,"정관생태하천
학습
문화축제추진위원회",추진위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,-,연경미,051-709-4332
78,부산,기장군,철마한우불고기축제,특산물,"10월 중
(4일간)",철마면,대면,2005,-,80,-,80,"코로나19
개최취소",,"철마한우불고기
축제추진위원회",사단법인,부산광역시 기장군 축제 운영 및 지원에 관한 조례,-,변재국,051-709-2894
79,부산,남구,제24회 UN평화축제,기타(주민화홥),10월 중(2일),평화공원,대면,1997,-,230,-,230,"코로나19
개최취소",,-,,,-,황진복,051-607-4062
80,부산,기장군,차성문화제,기타(주민화합),"10월 중
(3일간)","기장읍
일원",대면,1995,-,290,-,290,"코로나19
개최취소",,"차성문화제
추진위원회",추진위원회,부산광역시 기장군 차성문화제 조례,-,황지선,051-709-4062
81,부산,부산진구,제11회 서면메디컬스트리트 축제,기타,10월 중,서면메디컬스트리트 일원,혼합형,2011,-,70,30,100,"12,000명","1,000명","(사)서면메디컬스트리트
의료관광협의회",사단법인,문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙,-,이미진,051-605-6022
82,부산,부산진구,제6회 전포커피축제,기타,10월 중,전포카페거리 일원,혼합형,2017,-,"80
(추경편성예정)",-,80,"5,000명",200명,-,,,-,현은정,051-605-4524
83,부산,수영구,제20회 광안리어방축제,전통역사,10월 중(3일간),광안리해수욕장,대면,2001,30,740,-,770,"코로나19
개최취소",,수영구 축제위원회,비영리법인,부산시 수영구 축제육성 및 운영 지원에 관한 조례,문체부,백승진,051-610-4062
84,부산,기장군,기장붕장어축제,특산물,"9, 10월 중
(2일간)",칠암항,혼합형,2004,-,70,-,70,"코로나19
개최취소",,"기장붕장어
축제조직위",추진위원회,부산광역시 기장군 축제 운영 및 지원에 관한 조례,-,허민정,051-709-4522
85,부산,중구,제29회 부산자갈치축제,지역특산물,10.13.~10.16.,자갈치시장 일원 등,대면,1992,-,290,30,320,"코로나19
개최취소",,"부산자갈치문화관광
축제위원회",사단법인,부산광역시 중구 축제 운영 및 지원에 관한 조례,-,송소정,051-600-4085
86,부산,동래구,제28회 동래읍성역사축제,전통역사,10.14.~10.16.,"동래읍성(북문), 
동래문화회관 등","혼합형
(검토 중)",1995,-,440,67,507,"코로나19
개최취소",,동래문화원,사단법인,지방문화원진흥법 제4조 제1항,-,구병문,051-550-4092
87,부산,영도구,제30회 영도다리축제,문화예술,10.14~10.16,아미르공원,대면,1993,-,357.5,-,357.5,미산정,,영도문화원,비영리법인,부산광역시 영도구 영도문화원 지원 조례,-,신연진,051-419-4064
88,부산,영도구,영도커피페스티벌,문화예술,10.14~10.16,아미르공원,대면,2019,-,70,-,70,미산정,,영도문화원,비영리법인,부산광역시 영도구 영도문화원 지원 조례,-,김애란,051-419-4472
89,부산,동구,제19회 차이나타운특구 문화축제,문화예술,10.14.~10.16,부산 차이나타운 일대,혼합형,2004,-,125,45,170,"비대면 개최
(전시위주)
 ",,"차이나축제
추진위원회",위원회,부산광역시 동구 축제운영에 관한 조례,-,장은해,051-440-4062
90,부산,연제구,제3회 연제고분판타지축제,전통역사,3.25.~3.27.,"온천천,연산동고분군",대면,2018,-,290,-,290,"10,000",-,"연제구 축제 
추진위원회",위원회,부산광역시 연제구 축제추진위원회 육성 및 지원조례(2015년),-,강철민,051-665-4062
91,부산,사하구,제8회 다대포어항문화축제,전통역사,10월 중 2일,다대포항 일원,대면,2010,-,40,40,80,"코로나19
개최취소",, 부산시수협 다대어촌계 ,사단법인,-,-,이승롱,051-220-4501
92,부산,중구,제17회 보수동책방골목문화축제,문화예술,10월 중,보수동책방골목 일원,혼합형,1996,-,10,-,10,"코로나19
개최취소",,"보수동책방
골목번영회",비영리법인,-,-,이주현,051-600-6377
93,부산,서구,제13회 부산고등어축제,특산물,10.21.~10.23.,송도해수욕장,혼합형,2008,-,94,100,194,"코로나19
개최취소",,부산서구문화원,비영리법인,부산광역시 문화원 지원 및 육성에 관한 조례,-,김희라,051-240-4062
94,부산,사하구,제6회 부산어묵축제,특산물,10월 중,다대포 해변공원 일원,대면,2015,-,60,60,120,"코로나19
개최취소",,"부산어육제품
공업협동조합",협동조합,중소기업협동조합법,-,박도영,051-220-4492
95,부산,사하구,제12회 감천문화마을 골목축제,전통역사,10.~11. 중 ,감천문화마을 일원,대면,2011,-,110,30,140,"12,026",-,"감천문화마을
주민협의회",사단법인,"부산광역시 사하구 감천문화마을 조성 및 
운영 지원 등에 관한 조례",-,이성호,051-220-5925
96,부산,수영구,부산불꽃축제,문화예술,11월 중,광안리해수욕장,혼합형,2005,-,1700,-,1700,무관중 개최,,"(사)부산문화관광
축제조직위원회",추진위원회,"「문화체육관광부 및 문화재청 소관 비영리법인의 설립 및 감독에 관한 규칙」제4조
 ",-,이연경,051-888-5222
97,부산,중구,제14회 부산크리스마스트리문화축제,문화예술,11월 ~ 익년 1월,광복로 등,대면,2009,-,500,70,570,"비대면 개최
(전시위주)
 ",,"부산기독교
총연합회",사단법인,-,-,송소정,051-600-4085
98,부산,해운대구,제9회 해운대 빛축제,기타,11월경,해운대해수욕장 일원 ,미정,2014,-,미정,미정,미정,"1,570,896명",-,-,,,-,전정희,051-749-4061
99,부산,강서구,가덕도대구축제,지역특산물(가덕도대구),"12월 중순 예정
(2일간)",대항항,대면,2015,-,60,15,75,"코로나19
개최취소",,"가덕도대구
축제위원회",임의단체,부산광역시 강서구 축제 지원 조례,-,옥현진,051-970-4504
100,부산,해운대구,제23회 해운대달맞이언덕인문학축제,문화예술,미정,달맞이언덕 일원,미정,1998,-,12,-,12,약250명,-,해운대포럼,민간단체,-,-,유주은,051-749-4064
101,부산,해운대구,2023 카운트다운&해맞이 축제,기타,22.12.31.~23.1.1.,해운대해수욕장 일원 ,미정,-,-,미정,미정,미정,"코로나19
개최취소",,-,,,-,전정희,051-749-4061
102,인천,,2022년 인천펜타포트 음악축제,문화예술,8월중,송도일원,대면,2006,30,1130,0,1160,비대면,비대면,인천관광공사,공공,,문체부,한경아,032-440-40187
103,인천,,"제5회 지역특화 관광축제
(동인천낭만시장, 미추홀윈터마켓)",전통역사,"10월, 12월
(각 2일간)","동인천역 광장
주안역   광장",대면,2018년,0,600,0,600,진행중,,,,,,,
104,인천,,제6회 주섬주섬음악회,생태자연,7월중,덕적도 서포리해변,대면,2016년,0,65,0,65,"19,697
(온라인)",,,,,,,
105,인천,,송도대표축제,문화예술,10월중(2일간),센트럴파크,대면,2022,,250,,250,0,0,,,,,이미선,032-453-7092
106,인천,,청라대표축제,문화예술,9월중(2일간),청라호수공원,대면,2022,,250,,250,0,0,,,,,이미선,032-453-7092
107,인천,,영종대표축제,문화예술,10월중(2일간),씨사이드파크,대면,2022,,250,,250,0,0,,,,,이미선,032-453-7092
108,인천,,영종k-pop행사,문화예술,11월중,영종,대면,2022,,280,,280,0,0,,,,,이미선,032-453-7092
109,인천,강화군,제13회 고려산진달래축제,생태자연,4월중(9일간),고려산,"대면
(2021년
축제
미개최)",2005,0,250,0,250,-,-,"강화군 문화관광과
/강화군문화축제추진위원회",축제조직위,강화군 축제 지원 및 운영 조례,-,이예지,032-930-3625
110,인천,강화군,제21회 삼랑성역사문화축제,전통역사,10월중(9일간),전등사,"혼합형
(2021년
온라인
개최)",2001,15,150,65,230,"7,300명
(온라인 조회수
기준)",-,삼랑성역사문화축제조직위원회,축제조직위,강화군 축제 지원 및 운영 조례,문체부,박석암,032-937-0125
111,인천,미추홀구,제19회 주안미디어문화축제,문화예술,9.16.~9.18.,"인천 미추홀구
 옛 시민회관 쉼터",혼합형,2004,ㅡ,230,ㅡ,230,"51,591건
(온라인 참여 
포함)",ㅡ,"인천광역시
 미추홀구
 축제추진위원회",비상설,인천광역시미추홀구 문화예술진흥조례,ㅡ,조봄,032-880-7978
112,인천,연수구,송도불꽃축제,문화예술,5월 혹은 8월중,송도달빛축제공원,대면,2019,0,400,100,500,0,0,연수문화재단,재단법인,「인천광역시 연수구 지역문화진흥 조례」 (2019),없음,정효민,070-4169-6458
113,인천,연수구,제2회 연수℃· FESTA(연수씨페스타),문화예술,10월 중,연수구 일대,혼합형,2021,0,290,0,290,0,0,연수문화재단,재단법인,「인천광역시 연수구 지역문화진흥 조례」 (2019),없음,정구섭,070-4769-6469
114,인천,동구,제33회 화도진축제,전통역사,5월 중(2일간),"동인천역북광장, 
화도진공원",대면,1990,0,362,0,362,"미개최
(2021년)","미개최
(2021년)",,,,없음,한창수,032-770-6923
115,인천,서구,제27회 서곶예술제,문화예술,10.24.~10.30.,"정서진광장, 서구문화회관 등 인천 서구 곳곳",혼합형,2018년,,150,0,150,1000명,,인천서구문화재단,재단법인,인천서구문화재단 설립에 관한 조례(2017년),,박도연 ,032-579-1150
116,인천,중구,크리스마스 트리축제,문화예술,"12월~1월
(약2달간)",신포 문화의 거리,대면,2014,0,209,0,209,5000,1000,인천중구문화재단,재단법인,공기관 위탁대행,,,
117,인천,남동구,제22회 소래포구축제,생태자연,9~10월중 3일간,소래포구 해오름광장,혼합형,2001년,0,700,0,700,"400,000명","1,000명",남동문화재단,재단법인,남동구 지역문화 진흥 조례(2021년),-,조우상,032-453-2142
118,인천,부평구,부평풍물대축제,문화예술,9.30.~10.2.,부평일대,혼합형,1997년,0,600,0,600,비대면,비대면,축제위원회,비영리단체,인천광역시 부평구 축제위원회 설치 및 운영 조례,,이상규,032-509-6425
119,전북,전주시,제23회 전주국제영화제,문화예술,4.28~5.7,영화의거리일원,혼합형,2000,850,"3,480","1,320","5,650","13,472",99,(재)전주국제영화제조직위원회,재단법인,전주시 영상진흥조례,문체부,윤선아,063-281-2073
120,전북,전주시,2022 전주 재즈페스티벌,문화예술,4월 중,전주일원,혼합형,2022,200,200,0,400,미개최,,전주시,공공,,문체부,양소정,063-281-2697
